herb,molecule,target
Abies alba,(+)-Bornyl acetate,Solute carrier organic anion transporter family member 1B3
Abies alba,4-Hydroxycinnamic acid,ABCG2
Abies alba,4-Hydroxycinnamic acid,AKR1B1
Abrus precatorius,4-Hydroxycinnamic acid,AKR1B10
Abrus precatorius,4-Hydroxycinnamic acid,AKR1C3
Abrus precatorius,4-Hydroxycinnamic acid,APP
Abrus precatorius,4-Hydroxycinnamic acid,BACE1
Abrus precatorius,4-Hydroxycinnamic acid,CA1
Abrus precatorius,4-Hydroxycinnamic acid,CA12
Abrus precatorius,4-Hydroxycinnamic acid,CA13
Abrus precatorius,4-Hydroxycinnamic acid,CA14
Abrus precatorius,4-Hydroxycinnamic acid,CA3
Abrus precatorius,4-Hydroxycinnamic acid,CA4
Abrus precatorius,4-Hydroxycinnamic acid,CA5A
Abrus precatorius,4-Hydroxycinnamic acid,CA5B
Abrus precatorius,4-Hydroxycinnamic acid,CA6
Abrus precatorius,4-Hydroxycinnamic acid,CA7
Abrus precatorius,4-Hydroxycinnamic acid,CA9
Abrus precatorius,4-Hydroxycinnamic acid,CISD1
Abrus precatorius,4-Hydroxycinnamic acid,CXCL12
Abrus precatorius,4-Hydroxycinnamic acid,CYP1B1
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase I
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase II
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase III
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase IV
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase IX
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VA
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VB
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VI
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase VII
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase XII
Abrus precatorius,4-Hydroxycinnamic acid,Carbonic anhydrase XIV
Abrus precatorius,4-Hydroxycinnamic acid,ESR1
Abrus precatorius,4-Hydroxycinnamic acid,ESR2
Abrus precatorius,4-Hydroxycinnamic acid,F3
Abrus precatorius,4-Hydroxycinnamic acid,FOS
Abrus precatorius,4-Hydroxycinnamic acid,GLO1
Abrus precatorius,4-Hydroxycinnamic acid,HCAR2
Abrus precatorius,4-Hydroxycinnamic acid,HDAC1
Abrus precatorius,4-Hydroxycinnamic acid,HDAC11
Abrus precatorius,4-Hydroxycinnamic acid,HDAC2
Abrus precatorius,4-Hydroxycinnamic acid,HDAC8
Abrus precatorius,4-Hydroxycinnamic acid,HDAC9
Abrus precatorius,4-Hydroxycinnamic acid,JUN
Abrus precatorius,4-Hydroxycinnamic acid,MAOA
Abrus precatorius,4-Hydroxycinnamic acid,MAOB
Abrus precatorius,4-Hydroxycinnamic acid,MIF
Abrus precatorius,4-Hydroxycinnamic acid,MMP1
Abrus precatorius,4-Hydroxycinnamic acid,MMP2
Abies alba,4-Hydroxycinnamic acid,MMP9
Abrus precatorius,4-Hydroxycinnamic acid,NFE2L2
Abrus precatorius,4-Hydroxycinnamic acid,NQO2
Abies alba,4-Hydroxycinnamic acid,PTGER2
Abrus precatorius,4-Hydroxycinnamic acid,PTGER3
Abrus precatorius,4-Hydroxycinnamic acid,PTGER4
Abrus precatorius,4-Hydroxycinnamic acid,RARB
Abies alba,4-Hydroxycinnamic acid,Solute carrier organic anion transporter family member 1B1
Abies alba,4-Hydroxycinnamic acid,Solute carrier organic anion transporter family member 1B3
Abrus precatorius,4-Hydroxycinnamic acid,TLR9
Abrus precatorius,4-Hydroxycinnamic acid,TTR
Abies alba,4-Hydroxycinnamic acid,Tyrosinase
